area,sub_area,month_year,count,type_of_offence,count_category
Auckland,Auckland Central Area,2009-01-01,97.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-02-01,45.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-03-01,114.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-04-01,123.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-05-01,115.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-06-01,58.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-07-01,106.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-08-01,81.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-09-01,68.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-10-01,72.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-11-01,163.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-12-01,53.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-01-01,85.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-02-01,175.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-03-01,128.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-04-01,101.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-05-01,91.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-06-01,108.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-07-01,97.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-08-01,67.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-09-01,114.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-10-01,129.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-11-01,90.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2010-12-01,70.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-01-01,71.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-02-01,120.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-03-01,110.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-04-01,67.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-05-01,82.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-06-01,109.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-07-01,101.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-08-01,67.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-09-01,96.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-10-01,70.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-11-01,95.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2011-12-01,154.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-01-01,100.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-02-01,50.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-03-01,96.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-04-01,65.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-05-01,125.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-06-01,115.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-07-01,126.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-08-01,150.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-09-01,112.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-10-01,69.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-11-01,75.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2012-12-01,85.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-01-01,46.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-02-01,68.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-03-01,91.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-04-01,83.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-05-01,109.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-06-01,108.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-07-01,185.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-08-01,84.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-09-01,71.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-10-01,87.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-11-01,99.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2013-12-01,54.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-01-01,60.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-02-01,47.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-03-01,59.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-04-01,59.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-05-01,67.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-06-01,34.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-07-01,50.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-08-01,70.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-09-01,52.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-10-01,61.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-11-01,48.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2014-12-01,99.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-01-01,80.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-02-01,39.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-03-01,85.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-04-01,80.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-05-01,91.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-06-01,87.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-07-01,76.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-08-01,101.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-09-01,67.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-10-01,116.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-11-01,61.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2015-12-01,59.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-01-01,82.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-02-01,68.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-03-01,86.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-04-01,83.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-05-01,74.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-06-01,84.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-07-01,65.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-08-01,76.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2016-09-01,69.0,Alcohol specific offences,Offences
Auckland,Auckland Central Area,2009-01-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-02-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-03-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-04-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-05-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-06-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-07-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-08-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-09-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-10-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-11-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-12-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-01-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-02-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-03-01,2.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-04-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-05-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-06-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-07-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-08-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-09-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-10-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-11-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2010-12-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-01-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-02-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-03-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-04-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-05-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-06-01,3.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-07-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-08-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-09-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-10-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-11-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2011-12-01,2.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-01-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-02-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-03-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-04-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-05-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-06-01,2.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-07-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-08-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-09-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-10-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-11-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2012-12-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-01-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-02-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-03-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-04-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-05-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-06-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-07-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-08-01,2.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-09-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-10-01,2.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-11-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2013-12-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-01-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-02-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-03-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-04-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-05-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-06-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-07-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-08-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-09-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-10-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-11-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2014-12-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-01-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-02-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-03-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-04-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-05-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-06-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-07-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-08-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-09-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-10-01,2.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-11-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2015-12-01,2.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-01-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-02-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-03-01,3.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-04-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-05-01,2.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-06-01,1.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-07-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-08-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2016-09-01,0.0,Drug specific offences,Offences
Auckland,Auckland Central Area,2009-01-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-02-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-03-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-04-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-05-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-06-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-07-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-08-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-09-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-10-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-11-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2009-12-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-01-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-02-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-03-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-04-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-05-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-06-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-07-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-08-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-09-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-10-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-11-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2010-12-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-01-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-02-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-03-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-04-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-05-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-06-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-07-01,0.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-08-01,400.0,Alcohol specific offences,Fines
Auckland,Auckland Central Area,2011-09-01,600.0,Alcohol specific offences,Fines
