area,sub_area,month_year,count,type_of_offence,count_category
Waitemata,Auckland Motorways,2009-01-01,56.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-02-01,48.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-03-01,122.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-04-01,63.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-05-01,75.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-06-01,74.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-07-01,91.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-08-01,91.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-09-01,80.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-10-01,80.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-11-01,81.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-12-01,50.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-01-01,18.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-02-01,4.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-03-01,24.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-04-01,19.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-05-01,19.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-06-01,32.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-07-01,14.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-08-01,18.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-09-01,16.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-10-01,25.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-11-01,32.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2010-12-01,35.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-01-01,30.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-02-01,20.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-03-01,57.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-04-01,78.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-05-01,102.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-06-01,63.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-07-01,87.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-08-01,73.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-09-01,81.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-10-01,72.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-11-01,70.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2011-12-01,99.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2012-01-01,69.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2012-02-01,54.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2012-03-01,68.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2012-04-01,75.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2012-05-01,91.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2012-06-01,75.0,Alcohol specific offences,Offences
