area,sub_area,month_year,count,type_of_offence,count_category
Canterbury,Canterbury Metro,2009-01-01,249.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-02-01,183.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-03-01,206.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-04-01,194.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-05-01,229.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-06-01,197.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-07-01,197.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-08-01,228.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-09-01,233.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-10-01,257.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-11-01,279.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-12-01,294.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-01-01,219.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-02-01,229.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-03-01,216.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-04-01,219.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-05-01,279.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-06-01,230.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-07-01,243.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-08-01,278.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-09-01,304.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-10-01,263.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-11-01,236.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2010-12-01,299.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-01-01,254.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-02-01,231.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-03-01,334.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-04-01,314.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-05-01,337.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-06-01,327.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-07-01,326.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-08-01,283.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-09-01,267.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-10-01,299.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-11-01,245.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2011-12-01,356.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-01-01,236.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-02-01,195.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-03-01,220.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-04-01,279.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-05-01,269.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-06-01,235.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-07-01,218.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-08-01,206.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-09-01,232.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-10-01,234.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-11-01,323.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2012-12-01,291.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-01-01,163.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-02-01,154.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-03-01,242.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-04-01,175.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-05-01,195.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-06-01,215.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-07-01,145.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-08-01,192.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-09-01,216.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-10-01,196.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-11-01,239.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2013-12-01,210.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-01-01,122.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-02-01,162.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-03-01,216.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-04-01,158.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-05-01,242.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-06-01,168.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-07-01,192.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-08-01,201.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-09-01,191.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-10-01,207.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-11-01,230.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2014-12-01,245.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-01-01,210.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-02-01,213.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-03-01,235.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-04-01,199.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-05-01,235.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-06-01,214.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-07-01,230.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-08-01,246.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-09-01,225.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-10-01,234.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-11-01,265.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2015-12-01,207.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-01-01,195.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-02-01,196.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-03-01,207.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-04-01,203.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-05-01,200.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-06-01,174.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-07-01,224.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-08-01,193.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2016-09-01,195.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-01-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-02-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-03-01,2.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-04-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-05-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-06-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-07-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-08-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-09-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-10-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-11-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2009-12-01,2.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-01-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-02-01,2.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-03-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-04-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-05-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-06-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-07-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-08-01,3.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-09-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-10-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-11-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2010-12-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2011-01-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2011-02-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2011-03-01,2.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2011-04-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2011-05-01,1.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2011-06-01,0.0,Drug specific offences,Offences
Canterbury,Canterbury Metro,2011-07-01,1.0,Drug specific offences,Offences
