area,sub_area,month_year,count,type_of_offence,count_category
Counties/Manukau,Counties Manukau Central,2009-01-01,35.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-02-01,99.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-03-01,51.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-04-01,179.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-05-01,52.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-06-01,173.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-07-01,67.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-08-01,150.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-09-01,189.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-10-01,171.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-11-01,38.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2009-12-01,97.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-01-01,56.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-02-01,65.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-03-01,86.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-04-01,50.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-05-01,235.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-06-01,40.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-07-01,62.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-08-01,39.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-09-01,97.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-10-01,59.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-11-01,64.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2010-12-01,104.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2011-01-01,36.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2011-02-01,72.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2011-03-01,26.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2011-04-01,49.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau Central,2011-05-01,73.0,Alcohol specific offences,Offences
