area,sub_area,month_year,count,type_of_offence,count_category
Counties/Manukau,Counties Manukau South,2009-01-01,44.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-02-01,67.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-03-01,58.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-04-01,82.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-05-01,51.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-06-01,99.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-07-01,79.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-08-01,98.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-09-01,75.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-10-01,136.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-11-01,46.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2009-12-01,71.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-01-01,70.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-02-01,85.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-03-01,85.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-04-01,73.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-05-01,110.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-06-01,68.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-07-01,100.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-08-01,87.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-09-01,105.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-10-01,62.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-11-01,63.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2010-12-01,91.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-01-01,82.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-02-01,75.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-03-01,42.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-04-01,75.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-05-01,91.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-06-01,82.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-07-01,61.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-08-01,90.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-09-01,88.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-10-01,82.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-11-01,64.0,Alcohol specific offences,Offences
Counties/Manukau,Counties Manukau South,2011-12-01,97.0,Alcohol specific offences,Offences
