area,sub_area,month_year,count,type_of_offence,count_category
Northland,Far North,2009-01-01,85.0,Alcohol specific offences,Offences
Northland,Far North,2009-02-01,60.0,Alcohol specific offences,Offences
Northland,Far North,2009-03-01,105.0,Alcohol specific offences,Offences
Northland,Far North,2009-04-01,96.0,Alcohol specific offences,Offences
Northland,Far North,2009-05-01,115.0,Alcohol specific offences,Offences
Northland,Far North,2009-06-01,66.0,Alcohol specific offences,Offences
Northland,Far North,2009-07-01,66.0,Alcohol specific offences,Offences
Northland,Far North,2009-08-01,94.0,Alcohol specific offences,Offences
Northland,Far North,2009-09-01,101.0,Alcohol specific offences,Offences
Northland,Far North,2009-10-01,103.0,Alcohol specific offences,Offences
Northland,Far North,2009-11-01,98.0,Alcohol specific offences,Offences
Northland,Far North,2009-12-01,96.0,Alcohol specific offences,Offences
Northland,Far North,2010-01-01,70.0,Alcohol specific offences,Offences
Northland,Far North,2010-02-01,79.0,Alcohol specific offences,Offences
Northland,Far North,2010-03-01,77.0,Alcohol specific offences,Offences
Northland,Far North,2010-04-01,65.0,Alcohol specific offences,Offences
Northland,Far North,2010-05-01,52.0,Alcohol specific offences,Offences
Northland,Far North,2010-06-01,98.0,Alcohol specific offences,Offences
Northland,Far North,2010-07-01,70.0,Alcohol specific offences,Offences
Northland,Far North,2010-08-01,72.0,Alcohol specific offences,Offences
Northland,Far North,2010-09-01,83.0,Alcohol specific offences,Offences
Northland,Far North,2010-10-01,83.0,Alcohol specific offences,Offences
Northland,Far North,2010-11-01,77.0,Alcohol specific offences,Offences
Northland,Far North,2010-12-01,74.0,Alcohol specific offences,Offences
Northland,Far North,2011-01-01,52.0,Alcohol specific offences,Offences
Northland,Far North,2011-02-01,56.0,Alcohol specific offences,Offences
Northland,Far North,2011-03-01,47.0,Alcohol specific offences,Offences
Northland,Far North,2011-04-01,85.0,Alcohol specific offences,Offences
Northland,Far North,2011-05-01,54.0,Alcohol specific offences,Offences
Northland,Far North,2011-06-01,50.0,Alcohol specific offences,Offences
Northland,Far North,2011-07-01,61.0,Alcohol specific offences,Offences
Northland,Far North,2011-08-01,47.0,Alcohol specific offences,Offences
Northland,Far North,2011-09-01,73.0,Alcohol specific offences,Offences
Northland,Far North,2011-10-01,62.0,Alcohol specific offences,Offences
Northland,Far North,2011-11-01,62.0,Alcohol specific offences,Offences
Northland,Far North,2011-12-01,65.0,Alcohol specific offences,Offences
Northland,Far North,2012-01-01,49.0,Alcohol specific offences,Offences
Northland,Far North,2012-02-01,60.0,Alcohol specific offences,Offences
Northland,Far North,2012-03-01,41.0,Alcohol specific offences,Offences
Northland,Far North,2012-04-01,58.0,Alcohol specific offences,Offences
Northland,Far North,2012-05-01,42.0,Alcohol specific offences,Offences
Northland,Far North,2012-06-01,52.0,Alcohol specific offences,Offences
Northland,Far North,2012-07-01,40.0,Alcohol specific offences,Offences
Northland,Far North,2012-08-01,52.0,Alcohol specific offences,Offences
Northland,Far North,2012-09-01,49.0,Alcohol specific offences,Offences
Northland,Far North,2012-10-01,43.0,Alcohol specific offences,Offences
Northland,Far North,2012-11-01,49.0,Alcohol specific offences,Offences
Northland,Far North,2012-12-01,41.0,Alcohol specific offences,Offences
Northland,Far North,2013-01-01,43.0,Alcohol specific offences,Offences
Northland,Far North,2013-02-01,34.0,Alcohol specific offences,Offences
Northland,Far North,2013-03-01,71.0,Alcohol specific offences,Offences
Northland,Far North,2013-04-01,49.0,Alcohol specific offences,Offences
Northland,Far North,2013-05-01,47.0,Alcohol specific offences,Offences
Northland,Far North,2013-06-01,37.0,Alcohol specific offences,Offences
Northland,Far North,2013-07-01,64.0,Alcohol specific offences,Offences
Northland,Far North,2013-08-01,55.0,Alcohol specific offences,Offences
Northland,Far North,2013-09-01,59.0,Alcohol specific offences,Offences
Northland,Far North,2013-10-01,62.0,Alcohol specific offences,Offences
Northland,Far North,2013-11-01,50.0,Alcohol specific offences,Offences
Northland,Far North,2013-12-01,35.0,Alcohol specific offences,Offences
Northland,Far North,2014-01-01,57.0,Alcohol specific offences,Offences
Northland,Far North,2014-02-01,28.0,Alcohol specific offences,Offences
Northland,Far North,2014-03-01,35.0,Alcohol specific offences,Offences
Northland,Far North,2014-04-01,52.0,Alcohol specific offences,Offences
Northland,Far North,2014-05-01,61.0,Alcohol specific offences,Offences
Northland,Far North,2014-06-01,39.0,Alcohol specific offences,Offences
Northland,Far North,2014-07-01,34.0,Alcohol specific offences,Offences
Northland,Far North,2014-08-01,42.0,Alcohol specific offences,Offences
Northland,Far North,2014-09-01,36.0,Alcohol specific offences,Offences
Northland,Far North,2014-10-01,50.0,Alcohol specific offences,Offences
Northland,Far North,2014-11-01,40.0,Alcohol specific offences,Offences
