month_year,count_category,Alcohol specific offences,Mobile phone offences
2009-01-01,Offences,1518.0,0.0
2009-02-01,Offences,999.0,0.0
2009-03-01,Offences,1644.0,0.0
2009-04-01,Offences,1153.0,0.0
2009-05-01,Offences,1733.0,0.0
2009-06-01,Offences,1175.0,0.0
2009-07-01,Offences,1570.0,0.0
2009-08-01,Offences,1394.0,0.0
2009-09-01,Offences,1788.0,0.0
2009-10-01,Offences,1359.0,0.0
2009-11-01,Offences,1577.0,266.0
2009-12-01,Offences,1414.0,189.0
2010-01-01,Offences,1315.0,246.0
2010-02-01,Offences,893.0,262.0
2010-03-01,Offences,1432.0,346.0
2010-04-01,Offences,1098.0,299.0
2010-05-01,Offences,1678.0,362.0
2010-06-01,Offences,1172.0,301.0
2010-07-01,Offences,1471.0,381.0
2010-08-01,Offences,1115.0,393.0
2010-09-01,Offences,1492.0,375.0
2010-10-01,Offences,1269.0,406.0
2010-11-01,Offences,1477.0,388.0
2010-12-01,Offences,1345.0,297.0
2011-01-01,Offences,1150.0,307.0
2011-02-01,Offences,958.0,317.0
2011-03-01,Offences,1227.0,427.0
2011-04-01,Offences,1329.0,352.0
2011-05-01,Offences,1534.0,366.0
2011-06-01,Offences,1258.0,355.0
2011-07-01,Offences,1364.0,376.0
2011-08-01,Offences,1196.0,479.0
2011-09-01,Offences,1489.0,472.0
2011-10-01,Offences,1294.0,498.0
2011-11-01,Offences,1215.0,652.0
2011-12-01,Offences,1384.0,454.0
2012-01-01,Offences,1082.0,408.0
2012-02-01,Offences,929.0,448.0
2012-03-01,Offences,1361.0,462.0
2012-04-01,Offences,1143.0,421.0
2012-05-01,Offences,1225.0,535.0
2012-06-01,Offences,1097.0,361.0
2012-07-01,Offences,1230.0,458.0
2012-08-01,Offences,1126.0,642.0
2012-09-01,Offences,1185.0,452.0
2012-10-01,Offences,1075.0,614.0
2012-11-01,Offences,1166.0,812.0
2012-12-01,Offences,1266.0,565.0
2013-01-01,Offences,1046.0,394.0
2013-02-01,Offences,816.0,437.0
2013-03-01,Offences,1223.0,489.0
2013-04-01,Offences,891.0,565.0
2013-05-01,Offences,1148.0,500.0
2013-06-01,Offences,1064.0,509.0
2013-07-01,Offences,1171.0,611.0
2013-08-01,Offences,988.0,595.0
2013-09-01,Offences,1063.0,733.0
2013-10-01,Offences,934.0,731.0
2013-11-01,Offences,1092.0,789.0
2013-12-01,Offences,984.0,562.0
2014-01-01,Offences,897.0,655.0
2014-02-01,Offences,718.0,721.0
2014-03-01,Offences,887.0,866.0
2014-04-01,Offences,671.0,729.0
2014-05-01,Offences,966.0,1103.0
2014-06-01,Offences,782.0,799.0
2014-07-01,Offences,915.0,864.0
2014-08-01,Offences,878.0,805.0
2014-09-01,Offences,867.0,1094.0
2014-10-01,Offences,817.0,1005.0
2014-11-01,Offences,892.0,1107.0
2014-12-01,Offences,1143.0,859.0
2015-01-01,Offences,1196.0,996.0
2015-02-01,Offences,882.0,964.0
2015-03-01,Offences,1206.0,1297.0
2015-04-01,Offences,961.0,902.0
2015-05-01,Offences,1265.0,1221.0
2015-06-01,Offences,993.0,846.0
2015-07-01,Offences,1118.0,1352.0
2015-08-01,Offences,1054.0,794.0
2015-09-01,Offences,1171.0,2479.0
2015-10-01,Offences,1045.0,1057.0
2015-11-01,Offences,1174.0,1340.0
2015-12-01,Offences,1044.0,885.0
2016-01-01,Offences,1151.0,955.0
2016-02-01,Offences,788.0,1163.0
2016-03-01,Offences,1159.0,1542.0
2016-04-01,Offences,941.0,1041.0
2016-05-01,Offences,1109.0,1163.0
2016-06-01,Offences,864.0,976.0
2016-07-01,Offences,1258.0,1563.0
2016-08-01,Offences,878.0,1340.0
2016-09-01,Offences,1111.0,1441.0
