area,sub_area,month_year,count,type_of_offence,count_category
Waikato,Hamilton City,2009-01-01,137.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-02-01,129.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-03-01,121.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-04-01,155.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-05-01,144.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-06-01,136.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-07-01,135.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-08-01,166.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-09-01,132.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-10-01,126.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-11-01,151.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-12-01,152.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-01-01,81.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-02-01,93.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-03-01,109.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-04-01,102.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-05-01,122.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-06-01,121.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-07-01,117.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-08-01,128.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-09-01,147.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-10-01,157.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-11-01,95.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2010-12-01,130.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-01-01,69.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-02-01,96.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-03-01,122.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-04-01,140.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-05-01,145.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-06-01,108.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-07-01,162.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-08-01,139.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-09-01,140.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-10-01,109.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-11-01,130.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2011-12-01,121.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-01-01,55.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-02-01,78.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-03-01,113.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-04-01,87.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-05-01,97.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-06-01,110.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-07-01,105.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-08-01,74.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-09-01,90.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-10-01,132.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-11-01,99.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2012-12-01,124.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-01-01,87.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-02-01,103.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-03-01,107.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-04-01,71.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-05-01,84.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-06-01,77.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-07-01,74.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-08-01,101.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-09-01,73.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-10-01,98.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-11-01,90.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2013-12-01,101.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-01-01,61.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-02-01,71.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-03-01,83.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-04-01,73.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-05-01,86.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-06-01,66.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-07-01,63.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-08-01,98.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-09-01,85.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-10-01,106.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-11-01,63.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2014-12-01,115.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-01-01,97.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-02-01,98.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-03-01,112.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-04-01,112.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-05-01,113.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-06-01,124.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-07-01,111.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-08-01,120.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-09-01,105.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-10-01,107.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-11-01,118.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2015-12-01,157.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-01-01,106.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-02-01,140.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-03-01,139.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-04-01,203.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-05-01,110.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-06-01,122.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-07-01,151.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-08-01,124.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2016-09-01,122.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-01-01,0.0,Drug specific offences,Offences
Waikato,Hamilton City,2009-02-01,1.0,Drug specific offences,Offences
Waikato,Hamilton City,2009-03-01,0.0,Drug specific offences,Offences
Waikato,Hamilton City,2009-04-01,0.0,Drug specific offences,Offences
Waikato,Hamilton City,2009-05-01,0.0,Drug specific offences,Offences
Waikato,Hamilton City,2009-06-01,0.0,Drug specific offences,Offences
Waikato,Hamilton City,2009-07-01,0.0,Drug specific offences,Offences
Waikato,Hamilton City,2009-08-01,0.0,Drug specific offences,Offences
Waikato,Hamilton City,2009-09-01,0.0,Drug specific offences,Offences
