area,sub_area,month_year,count,type_of_offence,count_category
Eastern,Hawkes Bay,2009-01-01,112.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-02-01,89.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-03-01,141.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-04-01,130.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-05-01,115.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-06-01,127.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-07-01,110.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-08-01,122.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-09-01,107.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-10-01,129.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-11-01,92.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-12-01,103.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-01-01,106.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-02-01,123.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-03-01,102.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-04-01,117.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-05-01,111.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-06-01,95.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-07-01,133.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-08-01,89.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-09-01,121.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-10-01,104.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-11-01,108.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2010-12-01,137.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-01-01,100.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-02-01,117.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-03-01,105.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-04-01,140.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-05-01,116.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-06-01,124.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-07-01,153.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-08-01,97.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-09-01,122.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-10-01,107.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-11-01,89.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2011-12-01,99.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2012-01-01,94.0,Alcohol specific offences,Offences
