month_year,type_of_offence,count_category,count
2009-01-01,Alcohol specific offences,Fines,0.0
2009-01-01,Alcohol specific offences,Offences,2683.0
2009-01-01,Camera-issued speed offences,Fines,2530880.0
2009-01-01,Camera-issued speed offences,Offences,26070.0
2009-01-01,Drug specific offences,Offences,0.0
2009-01-01,Mobile phone offences,Fines,0.0
2009-01-01,Mobile phone offences,Offences,0.0
2009-01-01,Officer-issued red light,Fines,146850.0
2009-01-01,Officer-issued red light,Offences,979.0
2009-01-01,Restraints,Fines,1053300.0
2009-01-01,Restraints,Offences,7022.0
2009-02-01,Alcohol specific offences,Fines,0.0
2009-02-01,Alcohol specific offences,Offences,2266.0
2009-02-01,Camera-issued speed offences,Fines,2319560.0
2009-02-01,Camera-issued speed offences,Offences,28040.0
2009-02-01,Drug specific offences,Offences,7.0
2009-02-01,Mobile phone offences,Fines,0.0
2009-02-01,Mobile phone offences,Offences,0.0
2009-02-01,Officer-issued red light,Fines,166050.0
2009-02-01,Officer-issued red light,Offences,1108.0
2009-02-01,Restraints,Fines,936e3
2009-02-01,Restraints,Offences,6242.0
2009-03-01,Alcohol specific offences,Fines,0.0
2009-03-01,Alcohol specific offences,Offences,2849.0
2009-03-01,Camera-issued speed offences,Fines,1950890.0
2009-03-01,Camera-issued speed offences,Offences,22400.0
2009-03-01,Drug specific offences,Offences,8.0
2009-03-01,Mobile phone offences,Fines,0.0
2009-03-01,Mobile phone offences,Offences,0.0
2009-03-01,Officer-issued red light,Fines,190610.0
2009-03-01,Officer-issued red light,Offences,1271.0
2009-03-01,Restraints,Fines,1327800.0
2009-03-01,Restraints,Offences,8852.0
2009-04-01,Alcohol specific offences,Fines,0.0
2009-04-01,Alcohol specific offences,Offences,2866.0
2009-04-01,Camera-issued speed offences,Fines,2944210.0
2009-04-01,Camera-issued speed offences,Offences,31952.0
2009-04-01,Drug specific offences,Offences,9.0
2009-04-01,Mobile phone offences,Fines,0.0
2009-04-01,Mobile phone offences,Offences,0.0
2009-04-01,Officer-issued red light,Fines,163050.0
2009-04-01,Officer-issued red light,Offences,1090.0
2009-04-01,Restraints,Fines,831750.0
2009-04-01,Restraints,Offences,5549.0
2009-05-01,Alcohol specific offences,Fines,0.0
2009-05-01,Alcohol specific offences,Offences,3047.0
2009-05-01,Camera-issued speed offences,Fines,2073040.0
2009-05-01,Camera-issued speed offences,Offences,24733.0
2009-05-01,Drug specific offences,Offences,5.0
2009-05-01,Mobile phone offences,Fines,0.0
2009-05-01,Mobile phone offences,Offences,0.0
2009-05-01,Officer-issued red light,Fines,151350.0
2009-05-01,Officer-issued red light,Offences,1009.0
2009-05-01,Restraints,Fines,779250.0
2009-05-01,Restraints,Offences,5196.0
2009-06-01,Alcohol specific offences,Fines,0.0
2009-06-01,Alcohol specific offences,Offences,2685.0
2009-06-01,Camera-issued speed offences,Fines,2079190.0
2009-06-01,Camera-issued speed offences,Offences,25307.0
