area,sub_area,month_year,count,type_of_offence,count_category
Auckland,Auckland Central Area,2009-01-01,97.0,Alcohol specific offences,Offences
Auckland,Auckland East Area,2009-01-01,96.0,Alcohol specific offences,Offences
Auckland,Auckland West Area,2009-01-01,73.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-01-01,38.0,Alcohol specific offences,Offences
Bay Of Plenty,Rotorua,2009-01-01,51.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-01-01,50.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-01-01,139.0,Alcohol specific offences,Offences
Canterbury,Canterbury Metro,2009-01-01,249.0,Alcohol specific offences,Offences
Canterbury,Mid South Canterbury,2009-01-01,52.0,Alcohol specific offences,Offences
Central,Manawatu,2009-01-01,81.0,Alcohol specific offences,Offences
Central,Taranaki,2009-01-01,89.0,Alcohol specific offences,Offences
Central,Whanganui,2009-01-01,65.0,Alcohol specific offences,Offences
Counties/Manukau,CM Central,2009-01-01,35.0,Alcohol specific offences,Offences
Counties/Manukau,CM East,2009-01-01,15.0,Alcohol specific offences,Offences
Counties/Manukau,CM South,2009-01-01,44.0,Alcohol specific offences,Offences
Counties/Manukau,CM West,2009-01-01,62.0,Alcohol specific offences,Offences
Eastern,Hawkes Bay,2009-01-01,112.0,Alcohol specific offences,Offences
Eastern,Tairawhiti,2009-01-01,68.0,Alcohol specific offences,Offences
Northland,Far North,2009-01-01,85.0,Alcohol specific offences,Offences
Northland,Whangarei,2009-01-01,75.0,Alcohol specific offences,Offences
Southern,Otago Coastal,2009-01-01,67.0,Alcohol specific offences,Offences
Southern,Otago Lakes Central,2009-01-01,49.0,Alcohol specific offences,Offences
Southern,Southland,2009-01-01,47.0,Alcohol specific offences,Offences
Tasman,Marlborough,2009-01-01,38.0,Alcohol specific offences,Offences
Tasman,Nelson Bays,2009-01-01,72.0,Alcohol specific offences,Offences
Tasman,West Coast,2009-01-01,15.0,Alcohol specific offences,Offences
Waikato,Hamilton City,2009-01-01,137.0,Alcohol specific offences,Offences
Waikato,Waikato East,2009-01-01,73.0,Alcohol specific offences,Offences
Waikato,Waikato West,2009-01-01,70.0,Alcohol specific offences,Offences
Waitemata,Auckland Motorways,2009-01-01,56.0,Alcohol specific offences,Offences
Waitemata,North Shore,2009-01-01,65.0,Alcohol specific offences,Offences
Waitemata,Rodney,2009-01-01,48.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-01-01,107.0,Alcohol specific offences,Offences
