area,sub_area,month_year,count,type_of_offence,count_category
Waitemata,Waitakere,2009-01-01,107.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-02-01,70.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-03-01,200.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-04-01,92.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-05-01,161.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-06-01,75.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-07-01,104.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-08-01,120.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-09-01,166.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-10-01,116.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-11-01,90.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2009-12-01,116.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-01-01,76.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-02-01,154.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-03-01,79.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-04-01,122.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-05-01,126.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-06-01,37.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-07-01,93.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-08-01,144.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-09-01,93.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-10-01,125.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-11-01,75.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2010-12-01,71.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-01-01,62.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-02-01,65.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-03-01,73.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-04-01,111.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-05-01,82.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-06-01,123.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-07-01,46.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-08-01,99.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-09-01,77.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-10-01,92.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-11-01,97.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2011-12-01,84.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2012-01-01,58.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2012-02-01,73.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2012-03-01,116.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2012-04-01,58.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2012-05-01,65.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2012-06-01,97.0,Alcohol specific offences,Offences
Waitemata,Waitakere,2012-07-01,49.0,Alcohol specific offences,Offences
