area,sub_area,month_year,count,type_of_offence,count_category
Bay Of Plenty,Western Bay of Plenty,2009-01-01,139.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-02-01,62.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-03-01,135.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-04-01,126.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-05-01,145.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-06-01,141.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-07-01,162.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-08-01,201.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-09-01,135.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-10-01,188.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-11-01,174.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2009-12-01,177.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-01-01,129.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-02-01,126.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-03-01,82.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-04-01,116.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-05-01,110.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-06-01,130.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-07-01,121.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-08-01,95.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-09-01,102.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-10-01,149.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-11-01,158.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2010-12-01,157.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-01-01,146.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-02-01,92.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-03-01,97.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-04-01,112.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-05-01,113.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-06-01,122.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-07-01,113.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-08-01,100.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-09-01,143.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-10-01,148.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-11-01,105.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2011-12-01,141.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-01-01,98.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-02-01,92.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-03-01,81.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-04-01,83.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-05-01,118.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-06-01,96.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-07-01,92.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-08-01,97.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-09-01,109.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-10-01,111.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-11-01,88.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2012-12-01,125.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2013-01-01,117.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2013-02-01,61.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2013-03-01,59.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2013-04-01,65.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2013-05-01,77.0,Alcohol specific offences,Offences
Bay Of Plenty,Western Bay of Plenty,2013-06-01,93.0,Alcohol specific offences,Offences
