area,sub_area,month_year,count,type_of_offence,count_category
Central,Whanganui,2009-01-01,65.0,Alcohol specific offences,Offences
Central,Whanganui,2009-02-01,53.0,Alcohol specific offences,Offences
Central,Whanganui,2009-03-01,78.0,Alcohol specific offences,Offences
Central,Whanganui,2009-04-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2009-05-01,70.0,Alcohol specific offences,Offences
Central,Whanganui,2009-06-01,75.0,Alcohol specific offences,Offences
Central,Whanganui,2009-07-01,58.0,Alcohol specific offences,Offences
Central,Whanganui,2009-08-01,69.0,Alcohol specific offences,Offences
Central,Whanganui,2009-09-01,83.0,Alcohol specific offences,Offences
Central,Whanganui,2009-10-01,45.0,Alcohol specific offences,Offences
Central,Whanganui,2009-11-01,50.0,Alcohol specific offences,Offences
Central,Whanganui,2009-12-01,66.0,Alcohol specific offences,Offences
Central,Whanganui,2010-01-01,38.0,Alcohol specific offences,Offences
Central,Whanganui,2010-02-01,44.0,Alcohol specific offences,Offences
Central,Whanganui,2010-03-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2010-04-01,52.0,Alcohol specific offences,Offences
Central,Whanganui,2010-05-01,57.0,Alcohol specific offences,Offences
Central,Whanganui,2010-06-01,64.0,Alcohol specific offences,Offences
Central,Whanganui,2010-07-01,59.0,Alcohol specific offences,Offences
Central,Whanganui,2010-08-01,59.0,Alcohol specific offences,Offences
Central,Whanganui,2010-09-01,43.0,Alcohol specific offences,Offences
Central,Whanganui,2010-10-01,73.0,Alcohol specific offences,Offences
Central,Whanganui,2010-11-01,54.0,Alcohol specific offences,Offences
Central,Whanganui,2010-12-01,68.0,Alcohol specific offences,Offences
Central,Whanganui,2011-01-01,52.0,Alcohol specific offences,Offences
Central,Whanganui,2011-02-01,54.0,Alcohol specific offences,Offences
Central,Whanganui,2011-03-01,50.0,Alcohol specific offences,Offences
Central,Whanganui,2011-04-01,64.0,Alcohol specific offences,Offences
Central,Whanganui,2011-05-01,62.0,Alcohol specific offences,Offences
Central,Whanganui,2011-06-01,66.0,Alcohol specific offences,Offences
Central,Whanganui,2011-07-01,53.0,Alcohol specific offences,Offences
Central,Whanganui,2011-08-01,58.0,Alcohol specific offences,Offences
Central,Whanganui,2011-09-01,66.0,Alcohol specific offences,Offences
Central,Whanganui,2011-10-01,66.0,Alcohol specific offences,Offences
Central,Whanganui,2011-11-01,47.0,Alcohol specific offences,Offences
Central,Whanganui,2011-12-01,60.0,Alcohol specific offences,Offences
Central,Whanganui,2012-01-01,33.0,Alcohol specific offences,Offences
Central,Whanganui,2012-02-01,61.0,Alcohol specific offences,Offences
Central,Whanganui,2012-03-01,31.0,Alcohol specific offences,Offences
Central,Whanganui,2012-04-01,45.0,Alcohol specific offences,Offences
Central,Whanganui,2012-05-01,39.0,Alcohol specific offences,Offences
Central,Whanganui,2012-06-01,50.0,Alcohol specific offences,Offences
Central,Whanganui,2012-07-01,62.0,Alcohol specific offences,Offences
Central,Whanganui,2012-08-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2012-09-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2012-10-01,31.0,Alcohol specific offences,Offences
Central,Whanganui,2012-11-01,61.0,Alcohol specific offences,Offences
Central,Whanganui,2012-12-01,68.0,Alcohol specific offences,Offences
